"oy_0.9","oy_0.8","oy_0.7","or_0.9","or_0.8","or_0.7","of_0.9","of_0.8","of_0.7","escapement"
0,0,0,0.0005,0.00075,0.000917,0,0,0,1230000
0,0,0,0.0005,0.00075,0.000917,0,0,0,1235000
0,0,0,0.0005,0.000583,0.000917,0,0,0,1240000
0,0,0,0.0005,0.000583,0.000917,0,0,0,1245000
0,0,0,0.0005,0.000583,0.000917,0,0,0,1250000
0,0,0,0.0005,0.000583,0.000917,0,0,0,1255000
0,0,0,0.0005,0.000583,0.000917,0,0,0,1260000
0,0,0,0.0005,0.000583,0.000917,0,0,0,1265000
0,0,0,0.0005,0.000583,0.000917,0,0,0,1270000
0,0,0,0.0005,0.000583,0.000917,0,0,0,1275000
0,0,0,0.0005,0.000583,0.000917,0,0,0,1280000
0,0,0,0.0005,0.000583,0.000917,0,0,0,1285000
0,0,0,0.0005,0.000583,0.000833,0,0,0,1290000
0,0,0,0.0005,0.0005,0.000833,0,0,0,1295000
0,0,0,0.0005,0.0005,0.00075,0,0,0,1300000
0,0,0,0.0005,0.0005,0.00075,0,0,0,1305000
0,0,0,0.0005,0.0005,0.000583,0,0,0,1310000
0,0,0,0.0005,0.0005,0.000583,0,0,0,1315000
0,0,0,0.0005,0.0005,0.000583,0,0,0,1320000
0,0,0,0.0005,0.0005,0.000583,0,0,0,1325000
0,0,0,0.0005,0.0005,0.000583,0,0,0,1330000
0,0,0,0.0005,0.0005,0.000583,0,0,0,1335000
0,0,0,0.0005,0.0005,0.000583,0,0,0,1340000
0,0,0,0.0005,0.0005,0.000583,0,0,0,1345000
0,0,0,0.0005,0.0005,0.000583,0,0,0,1350000
0,0,0,0.000417,0.0005,0.000583,0,0,0,1355000
0,0,0,0.000417,0.0005,0.000583,0,0,0,1360000
0,0,0,0.000417,0.0005,0.000583,0,0,0,1365000
0,0,0,0.000417,0.0005,0.0005,0,0,0,1370000
0,0,0,0.000417,0.0005,0.0005,0,0,0,1375000
0,0,0,0.000417,0.0005,0.0005,0,0,0,1380000
0,0,0,0.000333,0.0005,0.0005,0,0,0,1385000
0,0,0,0.000333,0.0005,0.0005,0,0,0,1390000
0,0,0,0.000333,0.0005,0.0005,0,0,0,1395000
0,0,0,0.000333,0.0005,0.0005,0,0,0,1400000
0,0,0,0.000333,0.0005,0.0005,0,0,0,1405000
