"","beta","lnalpha","lnalpha.c","Smsy_lambert","Umsy_lambert"
"2314500",2.10999785871478e-05,2.17533704624749,2.61196365071559,39405.1904603231,0.831448674935297
"2314600",1.1072284279218e-05,1.26034231421617,1.56817679425782,55510.5624483923,0.614628727927885
"2314700",1.84232060142422e-05,2.09462534096697,2.49184509867057,44147.9116603279,0.813346071616787
"2314800",2.744467412292e-05,2.18793872872641,2.79382341549243,31189.4785618936,0.855985075194968
"2314900",1.27940251445881e-05,1.46413225458004,1.85978472499603,53905.5514010566,0.689668980058003
"2315000",1.55126904129747e-05,1.82130993400319,2.18137725861487,48920.4072578957,0.758887132668375
"2315100",1.79442286284885e-05,1.47618686753074,1.93853145308849,39449.662142079,0.707893756794092
"2315200",1.26747809598053e-05,1.32507190472263,1.75804809264811,52454.971421724,0.664855273023196
"2315300",2.12594369082029e-05,2.69821079763181,3.06887261979374,41729.8316018195,0.887152722128812
"2315400",9.98944575592672e-06,1.46969370652344,1.74258814564637,66165.6039332509,0.660957711399341
"2315500",1.29885579524399e-05,1.76989613030479,2.57849284141823,63637.6551385936,0.826561371725009
"2315600",1.46053963487652e-05,3.17828510052542,3.97440603256937,65136.7327838986,0.951347799172448
"2315700",8.15852389678955e-06,1.17915228175474,1.59548447491776,76260.2380909202,0.622170974839633
"2315800",1.06994443469474e-05,1.37291788756124,1.73852314865235,61678.6512966024,0.659927296942771
"2315900",1.79262279357963e-05,1.97233872970268,2.40600779299994,44595.4182374581,0.799427632216842
"2316000",5.76476141548245e-06,1.68986281282116,2.28756676015727,135099.132104431,0.778814264020791
"2316100",1.14303069705745e-05,2.38326599712159,3.18731722993169,78615.8436869477,0.898603226092511
"2316200",8.58695053235333e-06,1.61058316015592,1.98263913404309,83584.2643907474,0.71773394360649
"2316300",1.31043170280053e-05,1.57092458832404,1.94410077311245,54115.8086678938,0.709150713010957
"2316400",6.69823534581391e-06,1.04559923226725,1.6693337762622,95850.5271351048,0.642029388771255
"2316500",4.74028192481637e-06,0.885535380745754,1.53995994897512,127992.774131391,0.606721833722135
"2316600",1.70230237835061e-05,1.91363787376031,2.22891086597823,45114.1848781488,0.767979842154219
"2316700",1.59462382384556e-05,2.8480422109142,3.31070209762321,57029.1295104957,0.909400085706102
"2316800",3.31267662584417e-07,0.431708219982244,0.786825388262937,1063725.09447171,0.352377725678031
"2316900",1.02826760128919e-05,1.39332275542305,1.8606772160122,67091.5135840406,0.689880297399228
"2317000",1.45628801092527e-05,1.25890285128748,1.78050311082316,46038.7244447134,0.670456424471282
"2317100",1.49080412909262e-05,2.00437744612522,2.64872036833099,56122.6991618924,0.836679516463723
"2317200",1.06355925397866e-05,1.48559131412342,1.95816166124499,66973.7492544095,0.712305507931733
"2317300",1.97749662519863e-05,2.46910165030884,2.93739372698413,44151.4279686409,0.87309299805688
"2317400",2.82344009634791e-05,2.7026274522886,3.17032073936591,31770.7286916128,0.897027492780906
"2317500",8.98139687731967e-06,1.22367473146268,1.65860181714582,71168.4542005791,0.639192132320749
"2317600",1.88959671090255e-05,2.2581621917457,2.7752745567434,45175.430016693,0.853633439731515
"2317700",1.70261160320452e-05,1.98576294210419,2.32824700957034,46169.2166388908,0.786082439602384
"2317800",1.04410637099268e-05,2.66284474102012,3.94937099763454,91003.4660566086,0.950172986921216
"2317900",4.61123230100168e-06,0.993952524015888,2.1647478907001,163869.221961717,0.755639049449884
"2318000",1.14675863187385e-05,1.52949993816158,1.99041517312224,62736.972121315,0.71944164317747
"2318100",2.15031703092383e-05,2.18683173562525,2.67803912498953,39098.9441817166,0.840751255650853
"2318200",1.42485005628473e-05,1.10373792463426,1.79377879701476,47284.5978683308,0.673734619340919
"2318300",1.60900295094944e-05,1.50850135482036,1.83290861513455,42464.4271671502,0.683253886223224
"2318400",1.70729267818412e-05,1.79134675470719,2.21492970286536,44827.3868681686,0.76533469382151
"2318500",1.85998853402069e-05,1.8328709741127,2.52532076950107,44008.2996737617,0.818549327949431
"2318600",1.13653165421137e-05,1.54175265672363,1.95911130591608,62692.2807228984,0.712517615162795
"2318700",1.27530035851214e-05,1.62460444997354,1.95731407114207,55839.0882313388,0.712116092404175
"2318800",1.27743879201589e-05,1.4618381535957,1.66075682292943,50081.7093779075,0.63976318329805
"2318900",1.45813364192745e-05,1.56120392469166,2.02161680653581,49804.2672801424,0.726212776327223
"2319000",1.20281200057346e-05,1.61153426749195,1.99239766708063,59849.3967641968,0.719875726550585
"2319100",1.22502603421038e-05,1.24768693929648,1.91429220432637,57335.4455927323,0.7023741353415
"2319200",1.48436943876495e-05,1.7167001026582,1.95132780464485,47884.0060143288,0.710775551333068
"2319300",2.08404805661995e-05,1.85583105722629,2.3146188724957,37603.2477200193,0.783669753335048
"2319400",1.72398877628111e-05,1.84997531811243,2.15843471571213,43758.7983874923,0.754396772835846
"2319500",1.66041962449293e-05,1.77175775333617,2.37573786449175,47838.3466513637,0.7943172958322
"2319600",1.86526196802632e-05,2.14788520488268,2.42318484968591,43011.6656334608,0.802280240875592
"2319700",1.06861595827469e-05,1.53468493088196,2.11066605018632,69700.6423931064,0.744832187632709
"2319800",1.22427523839007e-05,1.74143337124704,2.19614058264301,62219.7917933701,0.761741504304085
"2319900",2.50383278961824e-05,2.31279651646975,2.72691293320158,33841.8800703052,0.847344089823581
"2320000",1.71570863675185e-05,2.09044457435553,2.8144734984593,50041.374864695,0.858564190502943
"2320100",2.34155402699516e-05,2.12888855163747,2.51004736602961,34856.7968425377,0.816190730147965
"2320200",1.79202162305838e-05,2.08069497665064,2.82512082566806,47983.6913850322,0.859878125161377
"2320300",1.02170947318665e-05,1.74490826012209,2.1223158342362,73131.530057085,0.747191770479581
"2320400",1.09031108267966e-05,1.51055667888017,2.10019536146061,68117.8511572252,0.742696480450461
"2320500",1.4753509228544e-06,0.685355665935756,0.986945740424761,290181.720574253,0.428119869244703
"2320600",1.83186316394178e-05,2.22464979134803,3.00189826011706,48048.0776199713,0.880175034902407
"2320700",2.34854294304111e-05,2.98758338775689,3.66789685688096,39810.6937336929,0.934971238258356
"2320800",1.57895867737897e-05,2.17805836306159,2.54855737057044,52065.230438412,0.822088473904662
"2320900",2.05036422814822e-05,2.46382859230149,3.01209132097806,42980.7197320603,0.881261302386806
"2321000",1.33525559393911e-05,1.66195604543628,2.28936428416567,58351.3482864282,0.779139642133426
"2321100",1.2287486160516e-05,1.24753246225686,1.64040947163416,51625.2752386314,0.634344855027513
"2321200",1.3322125049766e-05,1.47195751210425,1.93552837950309,53085.6930907835,0.707214241708916
"2321300",9.89093405821544e-06,1.71041476708157,2.19163360575747,76926.3062878101,0.760873022834814
"2321400",1.62641926070902e-05,1.77736225158764,2.29003162111111,47912.6359888444,0.779260340035965
"2321500",1.48994360493913e-05,1.68824359154386,2.0388383070625,48988.0786402097,0.729894744882354
"2321600",1.42625445987768e-05,1.42364882116256,2.03363349616082,51097.9004541202,0.728786084130748
"2321700",1.1475635293095e-05,1.47660303832863,1.92748805485132,61468.3976133164,0.705388913061371
"2321800",1.55053611458945e-05,2.16366767297735,2.51381414424598,52676.9290965244,0.816774809698287
"2321900",1.00701352216777e-05,1.8036072147256,2.41683570403658,79564.9496055005,0.80122980143336
"2322000",1.10102902004032e-05,1.92908804334168,2.34487408511546,71659.8715977001,0.788995982014307
